school_name,ap_course_count,ap_students_tested,ap_tests_administered,ap_tests_3plus,ap_exam_pass_rate,act_composite_avg,act_english_avg,act_math_avg,act_reading_avg,act_science_avg,act_students_tested,graduation_rate,hope_eligible_pct,dropout_rate
9th Grade Academy,1,56,56,28,50.0,,,,,,,,,
Academy For Classical Education,18,247,509,455,89.4,24.8,24.2,24.6,25.8,24.4,12,100.0,70.94,
Academy of Richmond County High School,16,282,581,115,19.8,16.6,13.4,16.0,18.9,17.9,12,87.0,36.32,2.4
Adairsville High School,25,366,955,436,45.7,20.8,18.9,20.6,21.7,22.2,21,99.01,63.25,0.9
Adairsville Middle School,5,,,,,,,,,,,,,
Albany High School,3,8,18,4,22.2,17.8,16.9,17.2,18.1,18.4,54,81.77,18.67,3.7
Alcovy High School,22,197,336,123,36.6,16.2,15.5,15.1,16.9,16.8,37,86.27,32.13,3.1
Alexander High School,26,273,480,300,62.5,19.3,18.8,18.0,21.2,18.8,67,93.69,60.0,1.6
Allatoona High School,20,454,914,722,79.0,22.2,21.2,21.0,23.8,22.7,63,93.96,63.5,1.0
Alliance Academy for Innovation,30,836,1974,1775,89.9,26.7,26.8,26.2,27.2,26.3,56,100.0,83.27,
Alpha Academy,,,,,,,,,,,,,,12.4
Alpharetta High School,31,986,2139,1816,84.9,25.3,25.2,23.8,27.0,24.8,132,98.38,66.07,0.9
Alternative Education Center at Lamar,,,,,,,,,,,,25.45,,13.9
Americus Sumter 9th Grade Academy,2,,,,,,,,,,,,,
Americus Sumter County High South,,,,,,,,,,,,89.3,,2.1
Americus Sumter High School (Old Americus-Sumter HS S),8,74,99,10,10.1,16.4,14.6,16.1,17.5,16.8,37,92.27,36.55,2.3
Apalachee High School,17,200,325,157,48.3,19.0,17.6,19.7,19.3,19.0,19,92.49,58.65,2.5
Appling County High School,6,51,57,35,61.4,16.3,14.9,16.6,16.3,16.9,16,99.16,40.91,1.8
APS-Forrest Hills Academey,,,,,,,,,,,,,,16.0
APS-Forrest Hills Academy,,,,,,,,,,,,,,6.3
"Arabia Mountain High School - Academy of Engineering, Medicine and Environm",13,317,510,216,42.4,18.0,16.7,17.5,19.0,18.1,47,100.0,64.21,0.9
Archer High School,26,809,1993,1648,82.7,20.4,19.3,20.1,21.0,20.5,56,93.78,59.75,1.4
Armuchee High School,11,121,208,147,70.7,21.5,21.3,20.2,23.3,20.7,26,96.18,61.9,
Armuchee Middle School,1,,,,,,,,,,,,,
Atkinson County High School,1,22,22,10,45.5,18.0,17.5,18.4,17.8,17.5,13,95.74,60.44,2.3
Atlanta Area School for the Deaf,1,1,,,,12.4,10.3,13.7,11.4,13.4,10,,15.0,
Atlanta Classical Academy,,,,,,,,,,,,97.22,88.57,9.8
Atlanta Classical Charter Academy Facility,10,74,121,105,86.8,27.7,27.0,26.2,29.2,28.0,10,,,
Atlanta Youth Detention Center,,,,,,,,,,,,,,30.4
Augusta Youth Development Campus,,,,,,,,,,,,,,32.7
Autrey Mill Middle School,1,,,,,,,,,,,,,
Awtrey Middle School,5,,,,,,,,,,,,,
AZ Kelsey Academy,,,,,,,,,,,,91.67,5.26,26.3
B.E.S.T Academy,,,,,,,,,,,,97.44,34.21,4.8
Bacon County High School,1,3,28,8,28.6,20.8,19.6,18.3,23.9,21.3,12,93.84,37.23,3.5
Baconton Community Charter School,2,25,25,1,4.0,19.3,18.8,17.6,21.5,18.6,11,98.15,75.47,
Bainbridge High School,8,82,140,88,62.9,20.7,18.9,19.1,23.0,21.3,32,96.64,45.74,0.8
Baker County High School,,,,,,,,,,,,100.0,,
Baker County K12 School,,,,,,,,,,,,100.0,47.06,
Baldwin High School,11,262,431,82,19.0,18.3,17.2,17.6,19.5,18.1,19,81.85,33.77,3.2
Banks County High School,6,76,87,62,71.3,20.2,18.8,19.3,21.6,20.4,19,92.72,55.03,2.1
Banneker High School,16,353,593,95,16.0,17.3,16.6,16.4,18.8,16.4,16,84.58,23.18,7.9
Barber Middle School,1,,,,,,,,,,,,,
Barrow Arts and Sciences Academy,,,,,,,,,,,,97.01,69.87,1.1
Bay Creek Middle School,11,15,16,15,93.8,,,,,,,,,
Beach High School,2,15,15,2,13.3,15.5,13.8,15.9,16.4,15.6,14,86.88,15.46,2.3
Bear Creek Middle School,1,,,,,,,,,,,,,
Benjamin E. Mays High School,9,122,154,41,26.6,16.9,14.4,16.1,17.9,18.1,10,88.72,33.68,3.0
Berkmar High School,27,460,777,344,44.3,20.6,18.4,20.3,21.7,21.1,20,82.4,33.07,2.2
Berkmar Middle School,6,,,,,,,,,,,,,
Berrien Academy Performance Learning Center,1,,,,,,,,,,,96.15,17.86,12.3
Berrien High School,7,105,142,94,66.2,20.0,18.7,19.8,20.4,20.7,10,96.7,50.74,3.2
Bethune Middle School,1,,,,,,,,,,,,,
Bishop Hall Charter School,1,,,,,,,,,,,93.33,15.07,
Blackmon Road Middle School,2,,,,,,,,,,,,,
Bleckley County High School,5,54,100,78,78.0,17.8,16.6,18.4,17.2,18.6,11,97.6,52.2,1.4
Bleckley County Success Academy,,,,,,,,,,,,91.67,,11.8
Booker T. Washington High School,8,115,139,22,15.8,14.4,12.1,14.8,16.0,14.4,20,85.35,29.71,4.8
Bowdon High School,10,66,92,49,53.3,20.2,18.6,19.9,21.1,20.8,12,97.2,54.29,4.3
Bowdon Middle School,1,,,,,,,,,,,,,
Bradwell Institute,16,139,199,110,55.3,18.6,17.9,17.3,19.9,18.8,48,92.65,35.57,2.0
Brantley County High School,3,45,52,32,61.5,20.1,18.8,19.2,20.7,20.8,13,86.76,52.25,2.0
Bremen High School,15,73,132,91,68.9,23.9,24.2,23.1,24.7,23.4,37,99.47,79.68,
Bremen Middle School,1,,,,,,,,,,,,,
Brighten Academy,1,,,,,,,,,,,,,
Brookhaven Innovation Academy,1,,,,,,,,,,,,,
Brooks County High School,7,62,100,30,30.0,17.6,16.4,17.1,17.7,18.6,14,97.62,38.84,5.4
Brooks County Middle School,1,,,,,,,,,,,,,
Brookwood High School,36,1193,2790,2444,87.6,24.4,23.6,23.8,25.3,24.7,90,94.06,66.15,0.6
Brunswick High School,22,241,468,257,54.9,20.1,18.8,20.2,20.7,21.0,34,99.75,43.32,0.6
Bryan County High School,9,51,77,30,39.0,17.4,15.7,17.3,18.0,18.0,35,88.97,48.09,3.0
Buford High School,27,691,1406,1259,89.5,23.7,22.5,23.5,24.9,23.6,75,93.3,74.35,1.1
Buford Middle School,1,12,12,12,100.0,,,,,,,,,
Burke County High School,2,17,17,15,88.2,17.3,17.3,17.7,16.9,17.0,16,92.83,37.99,1.5
Butler High School,5,39,44,11,25.0,14.2,12.2,14.9,14.6,14.5,17,78.3,34.81,4.0
CA Gray Junior High School,,,,,,,,,,,,,,1.5
Cairo High School,7,157,246,141,57.3,17.7,16.2,16.5,19.0,18.5,13,90.28,36.55,1.3
Calhoun County High School,1,7,,,,13.7,12.3,15.5,13.5,14.2,13,91.49,31.82,
Calhoun High School,15,174,268,192,71.6,21.5,20.6,20.9,21.9,22.4,22,97.71,57.38,0.9
Callaway High School,9,57,100,63,63.0,16.6,15.4,16.0,17.6,17.1,22,93.78,40.48,1.5
Callaway Middle School,1,,,,,,,,,,,,,
Cambridge High School,31,827,1883,1563,83.0,24.9,25.0,23.4,26.3,24.8,107,97.36,71.57,1.0
Camden County High School,23,368,649,441,68.0,22.8,21.2,22.2,23.9,23.6,37,96.18,60.38,0.8
Camp Creek Middle School,1,,,,,,,,,,,,,
Campbell High School,29,719,1528,1246,81.5,24.5,24.8,22.6,25.7,24.1,93,86.93,53.51,1.9
Campbell Middle School,2,17,30,21,70.0,,,,,,,,,
Carrollton High School,20,308,514,383,74.5,21.5,20.8,20.5,23.3,21.2,37,92.81,61.76,1.7
Cartersville High School,20,263,436,277,63.5,21.6,20.6,21.5,21.5,22.1,35,92.23,59.83,1.2
Carver High School,9,60,62,12,19.4,14.6,13.0,14.9,16.0,14.3,42,91.04,20.51,5.3
Carver High School Early College,6,48,51,17,33.3,15.8,12.3,15.5,18.2,17.0,10,93.69,39.62,3.5
Carver Road Middle School,1,,,,,,,,,,,,,
Cass High School,22,286,501,278,55.5,20.3,18.5,19.1,21.6,21.3,13,93.1,60.16,0.8
Cass Middle School,5,,,10,,,,,,,,,,
CCAT High School,,,,,,,,,,,,,59.26,
CCAT School,2,1,,,,,,,,,,94.74,61.11,
Cedar Grove High School,11,157,235,59,25.1,17.1,15.7,17.0,17.8,17.5,12,82.65,33.6,3.7
Cedar Grove Middle School,1,,,,,,,,,,,,,
Cedar Shoals High School,16,178,271,173,63.8,18.0,16.6,18.2,19.5,17.5,32,79.45,34.25,1.1
Cedartown High School,9,249,362,166,45.9,18.6,16.8,17.6,19.8,19.8,17,91.9,46.28,1.0
Centennial High School,28,548,1077,798,74.1,23.5,23.1,22.1,25.4,22.9,74,95.26,60.22,1.0
Central Elementary/High School,3,2,,,,16.6,15.8,15.6,16.9,17.7,17,94.59,34.38,
Central Gwinnett High School,26,334,603,384,63.7,18.8,16.5,18.0,21.0,19.5,32,86.25,42.73,3.0
Central High School,18,206,328,262,79.9,22.0,20.7,21.3,23.6,21.9,24,97.82,62.81,1.3
Chamblee Charter High School,33,634,1365,971,71.1,23.5,23.8,21.5,25.2,22.9,73,86.0,69.74,3.9
Chamblee High School,34,866,1786,1502,84.1,26.2,26.2,25.0,27.3,25.9,80,87.96,65.56,3.5
Chamblee Middle School,2,,,,,,,,,,,,,
Chapel Hill High School,23,297,564,332,58.9,19.6,18.4,18.1,21.7,19.6,45,94.6,51.95,1.5
Chapel Hill Middle School,3,,,,,,,,,,,,,
Charles Drew Charter JA/SR Academy,12,240,398,189,47.5,21.4,21.0,19.6,22.8,21.4,43,98.18,61.11,
Charles Drew Charter School JA/SA,9,113,145,44,30.3,19.9,20.6,18.6,20.9,18.7,16,98.36,47.46,
Charles R. Drew High School,16,231,338,25,7.4,16.4,14.9,16.1,17.5,16.9,19,84.97,34.55,4.4
Charlton County High School,2,1,,,,19.6,19.4,18.4,20.5,19.4,17,96.55,48.78,3.5
Chattahoochee County High School,3,16,17,3,17.6,19.5,18.9,18.4,21.5,19.0,17,88.79,40.63,3.3
Chattahoochee High School,35,850,1950,1796,92.1,25.7,25.8,25.3,26.4,25.0,74,97.0,70.48,0.5
Chattooga Academy,,,,,,,,,,,,66.67,,12.9
Chattooga High School,3,43,47,15,31.9,21.0,18.9,20.2,22.6,21.6,23,89.89,31.76,1.2
Cherokee Bluff High School,23,257,421,302,71.7,23.6,23.2,22.9,23.6,24.1,12,96.71,61.72,1.0
Cherokee High School,28,489,1037,894,86.2,22.1,20.6,21.0,23.9,22.3,54,82.06,46.88,2.1
Chestatee High School,18,238,383,225,58.7,20.5,19.8,18.8,21.6,21.2,13,92.68,45.71,1.9
Clarke Central High School,25,505,871,624,71.6,20.1,18.5,20.6,20.9,20.1,39,84.13,53.61,2.4
Clarke Middle School,3,,,,,,,,,,,,,
Clarkston High School,13,128,169,31,18.3,16.1,14.3,15.5,17.9,16.3,11,67.05,49.41,6.9
Classic City High School,1,1,,,,,,,,,,76.32,5.88,16.9
Claxton High School,2,42,52,24,46.2,18.8,18.1,17.7,19.7,19.4,12,98.11,32.38,2.2
Clayton County Open Campus/Career Academy,,,,,,15.7,14.2,16.0,16.1,16.3,25,,,
Clinch County High School,3,3,,,,,,,,,,88.57,37.5,2.7
Coahulla Creek High School,11,89,117,92,78.6,22.2,21.5,23.0,22.3,21.9,11,95.63,54.55,1.4
Coastal Middle School,8,,,10,,,,,,,,,,
Coastal Plains Charter High School,,,,,,,,,,,,17.25,14.89,26.0
Coastal Plains Charter High School - Candler Campus,,,,,,,,,,,,16.13,17.75,26.9
Coastal Plains High School,,,,,,,,,,,,18.45,16.49,20.7
Cobb Horizon High School,,,,,,,,,,,,55.14,17.83,13.8
Coffee County Career Academy,,,,,,,,,,,,62.03,,6.3
Coffee County High School,21,244,580,312,53.8,19.0,18.5,18.2,20.3,18.8,42,94.98,48.82,1.5
Coleman Middle School,5,,,,,,,,,,,,,
Collins Hill High School,25,603,1259,888,70.5,24.5,23.3,23.7,25.8,24.9,22,89.47,58.35,2.4
Colquitt County Achievement Center,1,,,,,17.6,16.2,17.3,17.9,18.4,15,40.0,,22.6
Colquitt County High School,18,258,400,245,61.3,19.3,18.1,18.8,20.3,19.4,26,90.63,43.09,1.2
Columbia High School,7,152,198,26,13.1,16.4,15.3,14.7,18.9,17.3,11,80.43,35.87,3.3
Columbia Middle School,2,,,,,,,,,,,,,
Columbus High School,27,875,2253,1866,82.8,25.3,24.6,24.6,26.5,25.2,98,100.0,92.83,
Commerce High School,6,60,72,54,75.0,18.9,17.8,17.9,20.6,18.6,18,96.83,48.78,2.2
Conyers Middle School,3,,,,,,,,,,,,,
Cook High School,2,26,26,24,92.3,21.8,21.1,20.1,24.1,21.7,10,98.48,44.85,1.1
Cooper Middle School,3,,,,,,,,,,,,,
Coosa High School,9,102,168,94,56.0,18.6,17.3,17.5,19.7,19.1,14,96.84,38.36,3.8
Coretta Scott King Young Women's Academy High School,12,55,88,27,30.7,18.7,17.8,16.6,21.1,18.8,18,,,
Coretta Scott King Young Women's Leadership Academy,,,,,,,,,,,,100.0,36.11,
Corretta Scott King Womens' Leadership Academy,,,,,,,,,,,,100.0,25.53,4.0
Corretta Scott King Young Womens' Leadership Academy,,,,,,,,,,,,100.0,,
Couch Middle School,8,10,11,19,172.7,,,,,,,,,
Crabapple Middle School,2,85,85,56,65.9,,,,,,,,,
Crawford County High School,5,37,46,20,43.5,17.9,17.2,17.6,18.0,17.9,13,92.97,55.65,3.0
Creekland Middle School,3,,,,,,,,,,,,,
Creekside High School,21,325,532,111,20.9,17.1,15.7,16.2,18.6,17.8,18,92.18,26.54,2.8
Creekview High School,22,606,1269,1113,87.7,23.8,23.1,23.4,24.3,24.0,78,96.96,75.95,0.6
Crews Middle School,9,16,23,18,78.3,,,,,,,,,
Crim High School,1,1,,,,,,,,,,16.67,2.7,25.6
Crisp County High School,4,39,44,24,54.5,19.5,18.5,18.5,20.3,20.2,24,81.65,40.97,5.5
Cross Creek High School,13,85,101,16,15.8,15.2,13.6,15.3,16.5,15.6,10,82.54,29.43,3.6
Cross Keys High School,10,107,137,96,70.1,17.2,16.4,16.8,17.4,17.7,13,73.68,38.62,8.3
D. M. Therrell High School,,,,,,,,,,,,90.46,20.75,2.1
DAC (Dodge County Achievement Center),,,,,,,,,,,,83.33,,30.4
Dacula High School,24,554,1106,796,72.0,20.8,18.9,20.9,21.9,21.1,32,89.18,46.97,1.6
Dacula Middle School,2,32,32,20,62.5,,,,,,,,,
Dade County High School,7,88,96,51,53.1,18.8,17.1,18.4,19.8,19.0,25,87.5,52.07,1.9
Dalton High School,18,383,643,323,50.2,20.6,19.0,19.8,22.1,20.7,22,91.36,62.74,1.5
Daniell Middle School,5,,,,,,,,,,,,,
David T Howard Middle School,7,12,23,23,100.0,,,,,,,,,
Davidson Fine Arts Magnet,22,215,443,373,84.2,24.2,23.8,22.9,26.4,23.1,16,100.0,73.83,
Davidson Magnet School,22,211,417,351,84.2,24.3,24.6,21.4,27.1,23.5,29,100.0,72.83,
Dawson County High School,18,186,317,214,67.5,19.7,17.9,18.8,20.9,21.2,23,97.26,54.7,1.3
Dawson County Middle School,1,,,,,,,,,,,,,
Decatur High School,16,543,762,611,80.2,25.0,24.9,22.8,27.0,25.0,87,96.04,75.23,1.1
DeKalb Alternative School,1,,,,,,,,,,,29.41,,18.8
Dekalb Early College Academy,6,56,66,51,77.3,22.9,21.5,21.9,25.4,22.4,10,100.0,97.1,
DeKalb High School of Technology-South,1,12,12,2,16.7,,,,,,,,,
DeKalb School of the Arts,15,159,260,184,70.8,22.6,23.2,20.0,24.7,22.2,21,100.0,84.21,
Delta Innovative School,,,,,,,,,,,,92.31,6.45,9.7
Denmark High School,32,1315,2828,2517,89.0,25.2,24.7,24.6,25.9,25.1,114,97.56,70.03,0.9
Destinations Career Academy of Georgia (Virtual),,,,,,,,,,,,,,5.9
Destiny Achievers Academy of Excellence,,,,,,16.2,14.4,16.1,17.1,16.7,17,47.2,5.88,15.4
Devereux Ackerman Academy,,,,,,,,,,,,,,16.7
Dickerson Middle School,14,28,43,41,95.3,,,,,,,,,
Discovery High School,23,466,869,555,63.9,19.3,17.8,18.8,19.8,20.3,12,83.43,43.96,1.7
Discovery Regional High School,,,,,,,,,,,,28.57,,9.6
DISTRICT_ALL,37,78718,142717,88345,61.9,,,,,,,,,
Dodge County High School,4,23,23,2,8.7,16.4,15.2,16.2,17.2,16.9,12,96.65,48.26,1.5
Dodgen Middle School,7,13,17,16,94.1,,,,,,,,,
Dooly County High School,4,36,42,1,2.4,15.1,13.3,14.8,15.5,16.3,19,91.25,48.65,3.6
Dougherty Comprehensive High School,5,17,22,,,15.2,13.5,15.1,16.1,15.5,77,88.49,31.06,1.7
Douglas County High School,18,83,107,57,53.3,17.6,16.6,17.0,18.5,17.7,44,93.95,43.1,2.0
Douglass High School,3,10,12,1,8.3,15.6,14.1,15.5,16.3,16.2,103,62.13,27.98,13.5
Druid Hills High School,22,327,576,370,64.2,22.1,22.3,20.0,23.9,21.7,45,88.67,57.59,4.6
Druid Hills Middle School,2,19,32,31,96.9,,,,,,,,,
Dublin City Alternative School,,,,,,,,,,,,51.35,,14.7
Dublin High School,3,38,39,1,2.6,16.0,13.3,15.7,16.5,17.3,20,96.5,42.36,2.2
Duluth High School,28,616,1278,908,71.0,21.8,20.4,20.7,24.4,21.3,21,86.94,49.25,1.2
Duluth Middle School,7,13,19,16,84.2,,,,,,,,,
Dunwoody High School,27,704,1479,1135,76.7,24.6,24.7,23.1,25.7,24.4,138,86.81,66.87,1.7
Durham Middle School,5,,,,,,,,,,,,,
Dutchtown High,16,207,291,145,49.8,16.5,15.6,15.7,17.7,16.4,125,92.49,37.83,1.4
Dutchtown Middle School,1,,,,,,,,,,,,,
Eagle's Landing High School,20,97,139,64,46.0,16.5,15.8,15.6,17.7,16.8,32,87.44,33.79,2.6
Early College Academy of Columbus at Waverly Terrace,1,4,26,1,3.8,19.2,17.8,18.9,20.8,18.6,16,97.14,17.14,
Early College High School at Carver,2,13,20,2,10.0,17.6,15.8,17.0,18.7,18.2,14,91.73,28.69,2.1
Early College Program,2,13,13,10,76.9,18.8,18.8,17.2,21.2,17.9,13,,,
Early County High School,2,15,18,5,27.8,17.4,16.2,16.5,17.6,18.4,35,87.92,39.84,1.9
East Cobb Middle School,9,15,23,15,65.2,,,,,,,,,
East Coweta High School,27,387,672,499,74.3,21.6,21.3,20.4,22.9,21.5,72,92.68,50.28,1.5
East DeKalb Special Education Center,,,,,,,,,,,,,,73.4
East Forsyth High School,23,388,671,543,80.9,22.7,21.6,21.4,24.0,22.5,49,95.05,55.26,1.3
East Hall High School,14,193,260,150,57.7,19.1,17.7,18.9,19.2,20.2,19,84.38,34.06,2.8
East Jackson Comprehensive High School,21,277,446,279,62.6,21.7,20.3,20.8,23.3,21.7,32,97.51,53.72,1.6
East Laurens High School,2,12,13,3,23.1,18.4,16.5,18.5,18.4,19.5,11,94.0,53.19,2.5
East Paulding High School,13,183,278,194,69.8,17.9,16.3,18.3,17.8,19.1,16,88.4,44.49,2.0
Eastman Youth Development Campus,,,,,,,,,,,,,,23.9
Eastside High School,27,332,783,526,67.2,18.9,18.2,17.8,20.5,18.8,56,93.53,50.88,1.1
Ebenezer Middle School,1,,,,,,,,,,,,,
Echols County High School,2,1,,,,18.7,16.8,17.7,21.3,19.1,12,94.12,54.84,
Edwards Middle School,2,,,,,,,,,,,,,
Effingham County High School,23,293,478,381,79.7,21.6,19.6,21.3,22.8,21.9,18,92.8,41.82,1.6
Elbert County High School,4,87,125,41,32.8,16.9,15.5,17.3,16.5,17.6,14,86.45,55.49,2.6
Elite Scholars Academy School,16,208,340,263,77.4,22.3,23.0,19.0,25.6,21.7,10,100.0,85.56,
Elizabeth Andrews High School,5,11,12,1,8.3,15.6,14.5,14.9,16.9,16.0,11,45.11,7.91,15.5
Emanuel County Institute,1,25,27,4,14.8,19.8,19.2,18.7,20.3,20.6,11,93.33,52.27,3.5
Etowah High School,28,562,1386,1177,84.9,23.2,22.1,22.4,24.1,24.0,108,92.51,59.07,1.1
Evans High School,24,370,850,655,77.1,20.9,20.2,19.8,21.8,21.5,28,92.93,45.65,1.2
EXCEL Academy,,,,,,,,,,,,51.47,3.03,14.6
Fannin County High School,8,77,98,74,75.5,19.8,18.5,18.6,22.6,20.9,10,90.64,55.38,1.1
Fayette County High School,24,336,597,401,67.2,20.2,18.3,19.8,21.8,20.2,33,89.49,38.74,1.7
Fitzgerald High School,7,58,64,25,39.1,16.0,14.5,16.5,16.8,16.0,13,93.96,43.75,1.8
Fitzgerald High School School College and Career Academy,1,37,37,12,32.4,19.0,17.6,17.7,20.8,19.7,16,90.78,43.68,2.8
Five Forks Middle School,6,11,14,13,92.9,,,,,,,,,
Flowery Branch High,31,301,640,512,80.0,19.5,16.9,20.0,19.5,20.9,17,91.62,59.41,1.5
Floyd Middle School,3,,,,,,,,,,,,,
Foothills Charter High School (Central Office - Athens),,,,,,,,,,,,9.45,16.77,27.0
Foothills Charter High School (Madison Campus),2,1,,,,,,,,,,12.54,10.37,33.7
Foothills Regional High School,,,,,,,,,,,,11.43,10.44,30.1
Forest Park High School,18,221,386,89,23.1,16.1,15.0,15.3,16.9,16.8,12,86.2,38.97,4.7
Forest Park Middle School,2,,,,,,,,,,,,,
