school_name,ap_course_count,ap_students_tested,ap_tests_administered,ap_tests_3plus,ap_exam_pass_rate,act_composite_avg,act_english_avg,act_math_avg,act_reading_avg,act_science_avg,act_students_tested,graduation_rate,hope_eligible_pct,dropout_rate
Forsyth Academy,7,1,,,,,,,,,,,,
Forsyth Central High School,31,778,1711,1505,88.0,25.1,24.3,24.0,26.1,25.2,104,94.29,64.26,0.9
Forsyth Virtual Academy,7,15,21,12,57.1,,,,,,,90.48,44.44,
Franklin County High School,4,69,72,53,73.6,20.7,18.8,20.1,22.1,21.5,13,92.24,59.13,2.6
Frederick Douglass High School,6,50,72,16,22.2,14.7,12.6,14.1,15.6,16.4,14,89.38,23.85,4.9
Freedom Park Elementary,1,,,,,,,,,,,,,
Fulton Academy of Virtual Excellence,,,,,,,,,,,,67.82,51.67,5.6
Fulton Leadership Academy,1,11,18,4,22.2,16.3,16.2,16.2,15.2,17.6,13,75.0,27.27,
Fulton Science Academy High School,1,3,,,,,,,,,,,,
Furlow Charter School,,,,,,,,,,,,85.37,47.22,
G.W. Carver High School Early College,2,20,34,6,17.6,16.3,14.1,16.0,16.8,17.2,11,,,
Gainesville High School,23,416,810,512,63.2,21.4,20.8,20.9,22.8,21.2,25,92.6,43.83,0.6
Garrett Middle School,1,,,,,,,,,,,,,
Gateway to College Academy,1,1,,,,,,,,,,,,
General Ray Davis Middle School,4,,,,,,,,,,,,,
George W. Hartmann Center,,,,,,,,,,,,,,50.0
George Washington Carver Freshman Campus,3,,,,,,,,,,,,,2.7
Georgia Academy for the Blind,,,,,,13.6,11.8,14.2,14.3,13.3,10,61.11,23.08,
Georgia Center,,,,,,,,,,,,,,13.0
Georgia Connections Academy,17,114,155,77,49.7,21.0,21.0,18.2,23.0,21.0,25,61.55,38.95,6.6
Georgia Connections Academy (Virtual),18,136,216,139,64.4,18.5,17.0,15.8,21.8,19.7,11,65.38,47.74,7.9
Georgia Cyber Academy,,,,,,,,,,,,66.75,42.94,3.9
Georgia Cyber Academy (Virtual),,,,,,,,,,,,76.54,42.86,2.8
Georgia Fugees Academy Charter School,,,,,,,,,,,,90.91,,
Georgia School for Innovation and the Classics,,,,,,,,,,,,95.74,38.64,
Georgia School for the Deaf,,,,,,13.1,9.5,15.0,12.7,14.6,10,,,
Gilmer High School,9,197,321,225,70.1,19.9,18.8,18.9,21.5,20.1,73,96.6,57.76,0.8
Glascock County Consolidated School,,,,,,,,,,,,91.67,54.55,
Glascock County Middle/High School,,,,,,,,,,,,86.05,62.16,
Glenn Hills High School,8,58,79,1,1.3,13.9,12.0,13.8,14.3,15.0,48,69.83,11.73,3.4
Glenn Hills Middle School,2,,,,,,,,,,,,,
Global Impact Academy,16,241,359,149,41.5,18.8,18.3,17.3,20.6,18.5,22,100.0,49.11,
Glynn Academy,27,530,1104,861,78.0,22.9,23.0,21.9,23.8,22.5,78,98.36,62.2,0.7
Gordon Central High School,8,52,65,38,58.5,21.1,19.6,20.0,23.1,21.1,17,94.23,63.92,1.6
Gordon Lee High School,4,29,37,21,56.8,20.5,18.7,19.9,22.1,21.1,38,98.08,73.0,
Grace Snell Middle School,6,,,,,,,,,,,,,
Grady High School,28,574,1264,801,63.4,24.9,25.6,23.6,26.2,23.7,49,86.38,75.75,3.5
Grayson High School,26,876,1886,1445,76.6,20.6,19.4,19.7,22.2,20.3,57,94.62,57.58,2.6
Greenbrier High School,27,720,1334,1115,83.6,23.7,22.1,22.1,25.6,24.5,62,97.85,61.73,0.7
Greene County High School,7,68,71,18,25.4,14.9,13.4,14.9,14.7,16.5,11,88.78,21.65,2.3
Greenville High School,1,12,12,2,16.7,14.2,11.7,15.6,14.5,14.2,18,87.5,58.93,4.6
Griffin High School,7,62,71,19,26.8,18.6,17.1,17.1,21.4,18.6,17,93.41,47.81,1.0
Griffin Middle School,8,21,31,20,64.5,,,,,,,,,
Groves High School,4,43,48,16,33.3,15.9,14.1,15.4,16.6,16.6,20,77.13,18.38,4.4
Grovetown High School,24,335,647,485,75.0,19.3,18.3,19.5,19.5,20.1,23,89.07,32.34,1.3
Gwinnett InterVention Education (GIVE) Center East,,,,,,,,,,,,,,9.1
Gwinnett Intervention Education Center (GIVE) West,,,,,,,,,,,,,,12.8
Gwinnett Online Campus,17,75,108,73,67.6,22.6,20.8,19.6,26.7,22.9,10,56.43,33.6,10.3
"Gwinnett School of Mathematics, Science and Technology",30,1023,3750,3507,93.5,28.8,28.0,28.2,30.1,28.6,45,100.0,90.43,
Habersham Central High School,21,236,467,369,79.0,23.5,23.0,21.7,25.5,23.5,11,98.02,50.0,1.5
Habersham Ninth Grade Academy,1,64,64,56,87.5,,,,,,,,,
Habersham Success Academy,,,,,,,,,,,,93.33,17.65,9.7
Hampton High School,10,83,105,47,44.8,16.7,15.6,15.8,18.0,17.3,35,91.17,45.21,2.0
Hampton Middle School,1,,,,,,,,,,,,,
Hancock Central High School,,,,,,15.6,14.6,16.4,14.7,17.1,10,82.81,31.37,5.2
Hank Aaron New Beginnings Academy,1,,,,,,,,,,,,,13.6
Hapeville Charter Career Academy,9,136,196,22,11.2,16.8,15.4,16.3,18.4,17.1,20,97.45,40.25,5.1
Hapeville Charter Middle School,3,,,,,,,,,,,,,
Haralson County High School,1,11,11,8,72.7,18.1,17.3,18.2,18.5,18.3,11,99.13,53.54,1.3
Haralson County Rebel Academy,,,,,,,,,,,,91.67,,
Hardaway High School,7,66,70,13,18.6,17.5,16.1,16.3,19.6,17.2,29,94.6,40.0,1.4
Harlem High School,16,281,470,299,63.6,21.0,18.8,20.6,22.1,22.1,17,91.81,46.64,1.5
Harlem Middle School,1,,,,,,,,,,,,,
Harpst Academy,,,,,,,,,,,,,,17.9
Harris County High School,23,214,382,328,85.9,21.5,19.6,20.9,23.6,22.2,44,94.87,53.19,0.8
Harrison High School,32,751,1574,1398,88.8,23.3,22.8,22.5,24.4,23.5,102,97.75,72.54,0.6
Hart County High School,9,102,178,81,45.5,19.5,18.5,18.6,20.2,20.3,31,96.95,57.71,1.0
Hawkinsville High School,1,18,18,25,138.9,19.2,17.7,19.9,20.4,18.5,12,91.26,53.33,2.7
Heard County High School,5,30,33,16,48.5,21.4,20.4,20.5,23.0,21.7,26,92.41,62.0,2.6
Henderson Middle School,12,13,22,14,63.6,,,,,,,,,
Henry County High School,15,111,133,28,21.1,17.2,16.3,16.2,18.5,17.4,111,85.11,33.33,2.9
Hephzibah High School,7,155,202,13,6.4,14.3,12.7,15.3,14.1,14.5,11,84.43,32.11,3.0
Hephzibah Middle School,1,,,,,,,,,,,,,
Heritage High School,28,413,668,216,32.3,17.8,16.8,16.6,19.1,18.0,48,90.56,43.6,2.4
Hightower Trail Middle School,8,32,52,11,21.2,,,,,,,,,
Hillgrove High School,25,500,1050,916,87.2,21.7,20.9,20.7,23.0,21.7,143,96.42,62.14,0.9
Hillside Conant School,1,1,,,,,,,,,,,,6.9
Hiram High School,14,132,191,102,53.4,17.9,16.0,17.4,18.5,19.0,21,86.13,36.84,2.1
Horizon Academy School,,,,,,,,,,,,89.87,,6.0
Houston County Career Academy,1,,,,,,,,,,,,,
Houston County Crossroads Center,,,,,,,,,,,,32.0,6.25,14.6
Houston County High School,21,538,1167,942,80.7,21.6,20.1,20.5,23.2,22.3,65,96.75,67.47,1.0
Houston County WIN Academy,,,,,,,,,,,,28.57,,8.8
Howard High School,17,161,281,107,38.1,17.8,16.3,17.2,19.4,18.0,13,88.49,42.73,2.2
Hull Middle School,7,,,11,,,,,,,,,,
Hurricane Transition Academy,,,,,,,,,,,,45.0,,24.8
i-Achieve Academy,,,,,,,,,,,,100.0,,
iGrad Virtual Academy School,,,,,,,,,,,,92.71,35.23,
Impact Academy High School,,,,,,,,,,,,95.9,,3.2
Independence Alternative School,,,,,,,,,,,,49.34,,16.7
Independence High School,1,1,,,,17.7,16.5,17.3,19.2,17.5,11,67.86,5.88,12.3
Innovation Academy,31,986,2170,1939,89.4,26.3,26.8,25.0,26.8,26.3,126,99.76,80.62,
Innovation Academy for Boys,,,,,,,,,,,,,,10.8
International Transition Center,,,,,,,,,,,,,,20.6
Irwin County High School,,,,,,18.0,15.5,17.9,20.0,18.0,11,94.07,55.2,2.3
Islands High School,18,181,314,164,52.2,20.2,19.3,18.4,21.7,20.9,19,94.0,55.5,1.6
Jackson County Comprehensive High School,15,292,477,193,40.5,22.1,21.7,20.4,23.5,21.9,28,92.68,49.13,1.2
Jackson County High School,16,478,731,504,68.9,20.4,19.2,19.2,21.9,20.7,113,92.98,54.13,0.9
Jackson High School,6,72,75,36,48.0,19.5,18.2,18.4,20.6,20.2,17,84.64,49.59,4.7
Jasper County High School,15,159,275,180,65.5,20.8,19.0,19.4,22.5,21.5,12,90.37,26.44,1.5
Jeff Davis High School,2,36,36,20,55.6,17.3,16.5,17.9,17.3,16.7,16,98.9,51.38,1.1
Jefferson County High School,4,66,68,17,25.0,17.4,16.8,16.9,17.6,18.0,14,90.96,45.64,1.5
Jefferson High School,23,287,489,407,83.2,23.2,21.4,22.1,25.2,23.8,29,96.43,62.37,0.8
Jenkins County High School,1,8,24,2,8.3,17.6,16.1,17.2,18.5,17.7,15,82.93,44.93,3.6
Jenkins High School,15,187,277,210,75.8,18.2,16.3,17.5,19.2,19.7,12,83.23,32.73,1.8
John Lewis Invictus Academy,1,,,,,,,,,,,,,
Johns Creek High School,30,853,1872,1716,91.7,26.3,26.0,25.4,26.8,26.3,127,97.13,76.13,0.7
Johnson County High School,1,40,66,1,1.5,17.2,15.7,18.0,17.3,17.6,10,88.75,42.25,3.1
Johnson Health Science and Engineering Magnet School,10,205,287,84,29.3,22.1,22.2,20.8,23.9,21.2,15,100.0,83.15,
Johnson High School,9,132,183,120,65.6,21.9,20.6,20.4,23.3,22.3,12,80.56,43.38,3.5
Johnson Magnet,13,160,270,67,24.8,20.9,20.2,19.2,23.1,20.4,17,100.0,64.71,
Jones County High School,7,129,147,104,70.7,21.4,19.0,20.7,23.4,21.5,15,86.46,46.04,1.8
Jones Middle School,5,18,21,17,81.0,,,,,,,,,
Jonesboro High School,12,270,365,99,27.1,15.4,14.7,14.7,16.3,15.8,26,88.17,30.33,2.7
Jonesboro Middle School,3,,,,,,,,,,,,,
Jordan Vocational High School,4,27,40,3,7.5,17.1,15.0,16.4,18.8,17.6,16,94.52,25.87,1.9
Josey High School,8,73,93,1,1.1,14.3,12.2,14.9,14.9,14.3,28,66.06,26.67,5.8
Kell High School,26,288,558,468,83.9,21.4,20.3,21.0,22.1,21.9,50,93.81,60.31,1.1
Kendrick High School,2,17,18,,,16.0,13.8,15.6,17.6,16.7,44,95.85,17.22,2.1
Kennesaw Mountain High School,29,438,1052,921,87.5,24.0,23.2,23.5,25.1,24.0,54,94.47,66.6,1.1
KidsPeace,2,1,,,,,,,,,,,,13.2
KIPP Atlanta Collegiate,13,472,852,24,2.8,18.1,17.9,17.5,18.3,18.0,90,86.31,37.59,3.9
KIPP Atlanta Collegiate Academy,11,84,116,7,6.0,16.6,15.8,16.7,16.7,16.6,110,92.15,27.84,2.3
Kipp Atlanta Collegiate Charter School,13,233,374,115,30.7,16.2,15.1,15.9,16.6,16.7,82,96.65,41.95,1.9
LaFayette High School,14,107,163,143,87.7,22.5,22.3,20.2,24.9,22.3,58,93.13,46.01,1.9
LaGrange High School,11,159,253,156,61.7,21.4,20.7,21.0,22.0,21.4,65,94.12,44.18,0.7
LAKE OCONEE CHARTER,,,,,,,,,,,,95.35,72.09,
Lake Oconee Charter High School,,,,,,,,,,,,100.0,85.29,
Lakeside High School,34,716,1489,1037,69.6,24.4,24.6,23.4,25.5,23.6,57,83.42,65.38,3.6
Lakeview-Fort Oglethorpe High School,9,34,49,30,61.2,19.4,17.6,18.8,21.1,19.7,29,87.64,44.98,2.0
Lamar County Comprehensive High School,,,,,,,,,,,,87.91,,3.6
Lamar County High School,3,12,14,11,78.6,20.0,18.3,18.9,22.1,19.6,12,87.56,37.2,2.3
Lambert High School,36,1983,4921,4487,91.2,25.5,25.6,25.6,25.5,24.8,232,98.21,80.9,0.5
Laney High School,11,147,237,1,0.4,13.2,11.7,13.9,12.7,14.3,17,73.98,28.67,8.0
Langston Hughes High School,17,358,482,64,13.3,16.2,15.4,15.9,17.3,16.2,48,94.33,29.2,3.0
Lanier Career Academy,,,,,,,,,,,,39.74,3.92,21.1
Lanier College and Career Academy,,,,,,,,,,,,63.73,13.48,13.7
Lanier County High School,2,22,22,2,9.1,17.8,16.8,17.5,18.3,17.9,18,96.81,44.44,2.6
Lanier High School,27,474,1057,841,79.6,23.3,21.7,21.9,25.4,23.6,38,94.76,63.18,0.8
Lanier Middle School,5,13,18,12,66.7,,,,,,,,,
Lassiter High School,31,867,2456,2198,89.5,23.8,22.9,23.6,24.7,23.4,99,97.31,76.56,0.5
Leadership Preparatory Academy,1,,,,,,,,,,,,,
Lee County High School,16,293,442,381,86.2,21.3,20.6,20.3,22.8,20.8,36,94.74,52.53,1.8
Lee County Middle School West,2,,,,,,,,,,,,,
Lee High School 9th Grade Campus,,,,,,,,,,,,,,2.4
Liberty County High School,7,80,106,67,63.2,18.0,16.3,16.6,19.7,18.9,41,91.04,40.23,1.5
Lighthouse Care Center of Augusta,,,,,,,,,,,,,,16.7
Lilburn Middle School,4,,,,,,,,,,,,,
Lincoln County High School,5,32,44,30,68.2,18.5,16.6,18.5,18.9,19.1,16,90.32,43.68,2.9
Lindley Middle School,1,,,,,,,,,,,,,
Lithia Springs Comprehensive High School,14,104,134,55,41.0,17.9,17.4,17.1,18.3,18.7,16,81.89,32.42,2.9
Lithonia High School,11,156,255,70,27.5,16.5,15.2,15.6,16.9,17.2,17,85.04,32.81,3.7
Lithonia Middle School,2,,,,,,,,,,,,,
Locust Grove High,15,136,197,99,50.3,20.3,18.8,19.3,22.0,20.6,18,93.41,38.4,1.6
Locust Grove Middle,5,11,11,,,,,,,,,,,
Loganville High School,21,273,476,406,85.3,21.6,20.6,20.7,23.4,21.1,29,95.73,55.08,1.6
Long Cane Middle School,1,,,,,,,,,,,,,
Long County High School,4,23,23,2,8.7,19.6,18.4,18.9,20.0,20.5,10,95.52,58.31,1.6
Lost Mountain Middle School,7,18,20,15,75.0,,,,,,,,,
Lovejoy High School,12,153,187,36,19.3,16.6,15.0,15.4,18.5,17.2,35,93.68,31.66,4.1
Lovejoy Middle School,4,,,,,,,,,,,,,
Lovinggood Middle School,1,,,,,,,,,,,,,
Lowndes High School,23,493,816,676,82.8,20.6,19.2,19.5,22.3,21.0,57,93.85,59.76,0.7
Luella High School,19,153,249,108,43.4,18.6,17.3,17.3,20.6,18.7,32,93.33,33.05,1.6
Luella Middle School,1,,,,,,,,,,,,,
Lumpkin County High School,13,160,220,166,75.5,22.5,20.9,21.2,24.3,23.6,22,97.84,54.61,1.2
Mabry Middle School,9,16,30,29,96.7,,,,,,,,,
MacIntyre Park Middle School,3,,,,,,,,,,,,,
Macon County High School,1,33,33,,,16.1,14.4,16.7,16.6,16.8,12,91.58,19.78,4.0
Macon Youth Development Campus,,,,,,,,,,,,,,29.3
Madison County High School,18,193,337,273,81.0,21.6,21.0,20.0,23.3,21.3,24,93.88,45.91,0.7
Manchester High School,2,36,36,15,41.7,16.4,14.8,15.9,17.5,16.6,33,78.46,55.34,2.4
Marietta High School,24,285,420,310,73.8,21.8,21.2,20.4,23.6,21.7,62,92.18,51.79,1.8
Marion County Middle/High School,3,23,35,22,62.9,18.0,18.8,17.7,17.3,17.8,11,91.26,59.77,2.1
Martha Ellen Stilwell School for the Performing Arts,10,148,207,110,53.1,19.0,18.4,17.7,20.0,19.3,11,100.0,67.89,
"Martin Luther King, Jr. High School",8,126,166,16,9.6,16.4,14.6,15.7,16.7,17.8,18,85.92,28.67,4.0
Mary Persons High School,14,212,273,226,82.8,20.7,19.9,19.4,21.5,21.3,25,93.84,54.09,1.2
"Maynard H. Jackson, Jr. High School",15,245,404,110,27.2,20.8,20.9,18.4,22.9,20.4,17,88.7,49.35,3.5
Maynard Jackson High School,18,624,1082,363,33.5,19.7,18.9,18.5,20.8,20.0,59,91.12,52.5,2.3
Mays High School,6,43,50,6,12.0,17.1,15.9,17.1,17.4,17.8,14,84.12,31.62,3.9
McClarin Alternative School,,,,,,,,,,,,75.18,,15.0
McClarin High School,3,2,,,,,,,,,,54.55,0.9,18.1
McCleskey Middle School,3,,,,,,,,,,,,,
McClure Health Science High School,26,506,1120,695,62.1,19.2,17.5,18.6,21.1,19.8,10,92.66,54.25,1.8
McClure Middle School,5,10,11,,,,,,,,,,,
McConnell Middle School,8,11,20,16,80.0,,,,,,,,,
McDonough High School,11,61,72,28,38.9,15.6,14.5,14.7,16.5,16.4,43,84.38,24.92,2.9
McDonough Middle School,1,,,,,,,,,,,,,
McEachern High School,24,366,650,382,58.8,17.7,16.6,16.6,18.6,18.2,52,91.16,46.95,2.3
McIntosh Academy,1,18,18,3,16.7,17.5,16.7,16.1,19.5,17.4,13,98.06,43.43,5.1
McIntosh County Academy,,,,,,,,,,,,75.7,,5.2
McIntosh High School,28,999,2374,2147,90.4,24.3,23.6,24.4,24.9,24.0,102,98.22,70.36,0.7
McNair High School,10,108,142,37,26.1,15.4,14.9,14.8,16.2,15.5,13,77.27,29.2,4.5
McNair Middle School,1,,,,,,,,,,,,,
Meadowcreek High School,27,409,891,365,41.0,18.6,16.2,19.2,18.9,19.6,10,82.62,36.92,4.3
Memorial Middle School,1,,,,,,,,,,,,,
Metter Career Academy,,,,,,,,,,,,92.86,16.98,
Metter College and Career Academy,,,,,,,,,,,,88.64,,
Metter High School,1,1,19,13,68.4,17.9,16.5,17.3,18.2,18.5,11,99.15,53.39,2.9
Midtown High School,25,853,2145,1774,82.7,24.5,24.8,22.2,25.8,24.8,73,95.34,67.52,2.9
Mill Creek High School,28,947,2190,1849,84.4,22.9,21.0,22.6,24.2,23.4,85,93.89,69.7,0.9
Millegeville ITU,,,,,,,,,,,,,,43.5
Miller County High School,4,3,,,,18.7,17.7,18.0,21.4,17.5,10,89.86,57.38,4.5
Miller Grove High School,5,72,123,44,35.8,16.6,15.7,15.5,18.2,15.9,13,83.54,25.98,4.6
Miller Grove Middle School,3,,,,,,,,,,,,,
Milton High School,35,994,2165,1853,85.6,24.8,25.0,23.5,25.6,24.6,140,96.17,72.98,0.6
Mitchell County High School,1,1,,,,17.2,17.0,16.5,18.2,17.0,23,85.86,48.24,5.0
Model High,21,201,453,300,66.2,20.7,19.8,20.2,21.2,20.8,26,97.74,62.71,
Monroe Area High School,12,146,207,126,60.9,19.8,18.7,18.2,21.6,20.0,21,94.37,53.38,1.2
Monroe High School,5,44,46,14,30.4,13.8,11.9,13.9,14.4,14.5,132,88.72,29.39,2.4
Montgomery Academy,,,,,,,,,,,,18.33,,25.6
Montgomery Co. High,,,,,,,,,,,,90.67,,2.9
Montgomery County High School,1,2,20,1,5.0,17.4,16.4,16.6,19.1,17.1,14,96.97,34.38,
Moore Middle School,3,,,,,,,,,,,,,
Moore Street Facility,,,,,,,,,,,,100.0,,12.0
Morgan County High School,20,267,487,354,72.7,22.1,22.1,20.4,23.0,22.1,44,93.09,60.0,1.0
Morris Innovative High School,1,3,13,,,16.6,14.7,16.6,17.8,16.9,16,33.75,39.02,28.3
Morrow High School,15,257,442,175,39.6,16.6,15.9,15.5,18.0,16.8,26,92.01,42.32,2.3
Morrow Middle School,1,,,,,,,,,,,,,
Mount Zion High School,9,137,185,27,14.6,18.5,17.1,16.4,21.3,18.6,10,94.81,33.02,2.0
Mount Zion Middle,1,,,,,,,,,,,,,
Mountain Creek Academy School,,,,,,,,,,,,37.5,,8.1
Mountain Education Center School,,,,,,19.0,17.9,18.4,19.9,19.0,25,13.55,17.07,36.3
Mountain Education Charter High School,,,,,,,,,,,,15.61,27.8,30.4
Mountain Education High School,,,,,,,,,,,,13.5,19.44,28.2
Mountain View High School,23,593,1236,1072,86.7,21.5,19.9,22.1,21.7,21.7,27,91.56,59.23,0.8
Mt. Zion High School,5,42,44,4,9.1,18.6,16.9,17.3,20.3,19.3,10,99.12,43.36,2.3
Mundy's Mill High School,11,252,340,82,24.1,16.7,15.0,15.6,19.0,17.2,42,92.46,39.06,2.8
Murray County High School,1,45,45,17,37.8,21.1,20.2,20.0,22.0,21.5,27,93.06,38.6,
Muscogee Youth Development Campus,,,,,,,,,,,,,,28.1
Muscogee Youth Development Center,,,,,,,,,,,,,,23.9
New Beginning Learning Center,,,,,,,,,,,,62.32,6.12,7.8
New Cass High School,,,,,,,,,,,,88.11,,2.1
New Hampstead High School,13,137,200,143,71.5,16.9,16.1,15.8,17.7,17.4,19,91.22,31.23,2.3
New Heard County High School,,,,,,,,,,,,93.55,,2.1
New Life Academy of Excellence,1,,,,,,,,,,,,,
New Manchester High School,16,121,178,123,69.1,18.3,18.4,17.1,19.5,18.0,58,89.28,40.67,1.8
New Southeast Bulloch High School,,,,,,,,,,,,85.6,,2.0
Newnan High School,25,389,674,548,81.3,20.7,19.7,20.1,22.0,20.4,48,91.31,45.4,2.4
Newton College and Career Academy,,,,,,18.9,17.4,17.2,20.7,20.4,18,,,
Newton High School,27,230,426,177,41.5,16.6,15.6,15.9,17.1,17.2,58,91.79,43.11,1.8
Norcross High School,23,456,902,579,64.2,23.7,22.2,22.1,25.5,24.6,36,85.35,39.74,3.1
North Atlanta High School,25,593,1020,729,71.5,24.4,24.7,22.2,25.9,24.2,111,93.72,61.49,2.4
North Clayton High School,4,25,26,11,42.3,16.5,14.8,15.1,18.6,16.7,19,84.33,31.31,4.5
North Cobb High School,28,673,1633,1341,82.1,21.6,21.2,19.7,23.9,21.5,88,93.49,57.61,1.7
North Forsyth High School,24,652,1280,1072,83.8,21.6,20.6,21.0,22.3,22.0,96,94.4,60.69,0.7
North Forsyth Middle School,3,,,,,,,,,,,,,
